車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
RX,情報なし,500h Fスポーツ パフォーマンス 4WD 全方位モニター サンルーフ,769.8万円,2023(R05),1万km,なし,フロアMTモード付6AT,2400CC,2025-07-31T23:31:35.564202,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6457668283/index.html
RX,情報なし,200t バージョンL 4WD 茶革冷暖シート後期用20AW360カメラ3眼LED,261.3万円,2016(H28),7.2万km,なし,フロアMTモード付6AT,2000CC,2025-07-31T23:31:35.566624,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430504292/index.html
RX,情報なし,450h バージョンL サンルーフ&リアエンター黒革シートETC,306.3万円,2016(H28),3.2万km,なし,フロアMTモード付CVT,3500CC,2025-07-31T23:31:35.569389,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384429752/index.html
RX,情報なし,450h 禁煙 サンルーフ ブラインドスポット,329.9万円,2018(H30),5.1万km,なし,フロアCVT,3500CC,2025-07-31T23:31:35.572117,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6402554898/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD 純正ナビ/全周囲モニター/フルセグテレビ,798.6万円,2023(R05),0.9万km,なし,フロアMTモード付6AT,2400CC,2025-07-31T23:31:35.574762,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6416950576/index.html
RX,情報なし,300 バージョンL サンルーフ全周囲カメラ電動シート,343.9万円,2019(H31),5.9万km,なし,フロア6AT,2000CC,2025-07-31T23:31:35.577422,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6408307595/index.html
RX,情報なし,450h バージョンL 4WD 衝突回避支援・本革・ムーンルーフ・HUD,388.7万円,2018(H30),3.9万km,なし,フロアCVT,3500CC,2025-07-31T23:31:35.580101,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6443676956/index.html
RX,情報なし,200t バージョンL 4WD ACC/ABS/4WD/PS/後席モニター/HUD/フルセグテレビ/純正メモリナビ/クリアランスソナー/アラウンドビュー/バックカメラ/プッシュスタート/パワーバックドア/ビルトインETC2.0/シートヒーター/ディープブルーマイカ,279.8万円,2016(H28),9.1万km,なし,フロアMTモード付6AT,2000CC,2025-07-31T23:31:35.582786,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428763425/index.html
RX,情報なし,300 新品タイヤ/11.6インチ SDナビ,512.9万円,2022(R04),1.7万km,なし,フロアMTモード付6AT,2000CC,2025-07-31T23:31:35.585507,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6347927844/index.html
RX,情報なし,200t Fスポーツ 純正ナビ VSC BSM 　プリクラッシュ　赤革シート クリアランスソナー　フルセグテレビ　　全方位カメラ　禁煙車　前後コーナーセンサー　ETC2.0　電動リアゲート　クルコン　パワーシート,279.8万円,2017(H29),8.4万km,なし,フロアMTモード付6AT,2000CC,2025-07-31T23:31:35.588251,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407968177/index.html
RX,情報なし,450h バージョンL 4WD 純正ナビ　フルセグ　全方位カメラ,517.8万円,2020(R02),1.6万km,なし,フロアCVT,3500CC,2025-07-31T23:31:35.591091,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6457495239/index.html
RX,情報なし,450h バージョンL 4WD 白革 パノラマSR ACCナビ360°外スポイラー,459.8万円,2019(R01),3.7万km,なし,フロアMTモード付CVT,3500CC,2025-07-31T23:31:35.593784,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6432202119/index.html
RX,情報なし,200t バージョンL サンルーフ360°カメラDミラー電動Rゲート,279.4万円,2016(H28),7.1万km,なし,フロアMTモード付6AT,2000CC,2025-07-31T23:31:35.596184,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430504507/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD サンルーフ/全周囲/オレンジキャリパ-,784.8万円,2023(R05),1.6万km,なし,フロアMTモード付6AT,2400CC,2025-07-31T23:31:35.598945,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6445696610/index.html
RX,情報なし,200t ワンオーナー　サンルーフ　Mナビ　ETC,284.4万円,2017(H29),7.7万km,なし,フロア6AT,2000CC,2025-07-31T23:31:35.601196,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428310761/index.html
RX,情報なし,450h バージョンL ムーンルーフ　PVM　BSM,384.5万円,2020(R02),11万km,なし,フロアCVT,3500CC,2025-07-31T23:31:35.603773,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6398593827/index.html
RX,情報なし,200t 4WD ナビ サンルーフ LEXUSsafety Bカメラ ETC,325.7万円,2016(H28),4.9万km,なし,フロアMTモード付6AT,2000CC,2025-07-31T23:31:35.606422,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6450743630/index.html
RX,情報なし,300 ACC 3眼 12.3型純ナビ TV BT BSM 衝突軽減,409.8万円,2020(R02),3.6万km,なし,フロアMTモード付6AT,2000CC,2025-07-31T23:31:35.609413,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407929185/index.html
RX,情報なし,450hプラス バージョンL 4WD ワンオーナー/サンルーフ/白革シート/フルセグTV/シートヒーター&ベンチレーション/レーダークルーズ/ブラインドスポットモニター/純正アルミ/パドルシフト/ヘッドアップディスプレイ/電動リアゲート,715.8万円,2024(R06),2.7万km,なし,フロアMTモード付CVT,2500CC,2025-07-31T23:31:35.612273,2025-07-31,23:31:35,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6364810711/index.html
